year,state,falls_per_100k,hospitalization_rate,avg_cost_usd
2018,Alabama,2841,18.4,34200
2018,California,2654,16.1,41800
2018,Florida,3102,21.3,38500
2018,New York,2789,17.8,45600
2018,Texas,2512,15.6,36900
2019,Alabama,2893,18.9,35100
2019,California,2701,16.5,43200
2019,Florida,3187,21.9,39800
2019,New York,2834,18.2,47100
2019,Texas,2568,16.0,38200
2020,Alabama,2755,17.8,33600
2020,California,2623,15.9,42500
2020,Florida,3044,20.7,38100
2020,New York,2698,17.1,46300
2020,Texas,2489,15.2,37400
2021,Alabama,2918,19.2,36800
2021,California,2742,16.8,44900
2021,Florida,3221,22.4,41200
2021,New York,2871,18.6,49500
2021,Texas,2601,16.3,39700
